metric,phase,embedding_dimension,k_neighbors,lb,mg,local_median,local_iqr
weight_norm,post_grok,6,10,2.804579018611726,2.5944195425889083,2.5936886516142006,0.9374238382435536
weight_norm,post_grok,6,15,2.4163067513839276,2.248530319168384,2.2934561237390088,0.7435610315736214
weight_norm,post_grok,9,5,3.943800285801435,3.2498511343665895,3.3742181267611002,2.208440562920198
weight_norm,post_grok,9,8,3.1285707303407966,2.918496017185949,3.041480989588872,1.068328619413248
weight_norm,post_grok,9,10,2.883124586378865,2.688213585949446,2.7680734653677,1.00546175013474
weight_norm,post_grok,9,15,2.6086932594353796,2.4690503528383347,2.5481535466109415,0.6678574859900128
weight_norm,post_grok,12,5,3.8859450168774616,3.1344402421763853,3.631763363882594,2.3008723808626192
weight_norm,post_grok,12,8,3.1068785423939014,2.9284082671070486,2.8880132095513846,0.9933420360041056
weight_norm,post_grok,12,10,2.8746062958500094,2.764392106360389,2.8986362617363524,0.711217058484924
weight_norm,post_grok,12,15,2.7915208608349635,2.702274117012505,2.695681196570192,0.7787657488385502
weight_norm,post_grok,15,5,3.6357164671728768,2.8476087029040937,3.1580651974891056,2.7813742977005553
weight_norm,post_grok,15,8,3.043093670489597,2.837971612953677,2.8019124051998396,0.8043432703834248
weight_norm,post_grok,15,10,2.8152879081371736,2.734129879473827,2.788625705510009,0.5314795762656774
weight_norm,post_grok,15,15,2.848485571305949,2.7348246493257955,2.6533081113974637,0.7460031913146348
gradient_norm,fitting,6,5,3.6905077099442973,2.8671347813529957,3.165731283264123,2.198597319549484
gradient_norm,fitting,6,8,3.2271928808955788,2.834184359396853,3.0236182175098314,1.4892182382664005
gradient_norm,fitting,6,10,3.0173878347036864,2.827882820243775,3.0625799943580714,1.1009621755892303
gradient_norm,fitting,6,15,2.8321947320837397,2.6897548085463003,2.8020250195109764,0.8248009779696077
gradient_norm,fitting,9,5,4.44829708691004,3.610130537605849,4.015635202776741,2.69457074313929
gradient_norm,fitting,9,8,3.994479515954979,3.581553386077658,3.7848228820113334,1.7255031284131652
gradient_norm,fitting,9,10,3.9377434505836124,3.5225491428965205,3.533112030518898,1.7516252372322798
gradient_norm,fitting,9,15,3.459688703880529,3.161310693733186,3.3858291075252365,1.4957390896680938
gradient_norm,fitting,12,5,5.871100424361419,4.510924407627884,4.757169575221814,2.859152583744763
gradient_norm,fitting,12,8,4.78673439554245,4.221129151627946,4.680855066898042,2.195339592485636
gradient_norm,fitting,12,10,4.582989927070592,4.04814385185976,4.49251173610976,2.1071871159515543
gradient_norm,fitting,12,15,4.271935572324024,3.787104312175969,3.9559644520756017,2.329686591277353
gradient_norm,fitting,15,5,6.0905124812974405,4.8696179250516005,5.785986349438573,4.263248170963555
gradient_norm,fitting,15,8,5.401110238958552,4.699695998422379,5.151996820895439,2.938484766548641
gradient_norm,fitting,15,10,5.399684211709664,4.715254640867439,5.126131734742018,3.0952701519966004
gradient_norm,fitting,15,15,4.717985527594623,4.298572558045967,4.675769244279082,2.163571011463952
gradient_norm,memorization_gap,6,5,5.504049551383127,4.071140566788817,4.432333425186296,3.8282285217233487
gradient_norm,memorization_gap,6,8,4.707496570473704,3.5946046297519163,4.114467269333593,2.875023851050037
gradient_norm,memorization_gap,6,10,4.57858410359742,3.6266764204457713,4.105423773588523,2.4396392900647728
gradient_norm,memorization_gap,6,15,4.175113671114131,3.527947153926498,3.8557613053779716,2.1928796287838708
gradient_norm,memorization_gap,9,5,6.361773994203361,4.460172989688741,4.9986394978823245,4.081805422878626
gradient_norm,memorization_gap,9,8,5.249500340436959,4.096279541306665,4.872563495406818,3.2204377028376983
gradient_norm,memorization_gap,9,10,4.9556742998924665,3.982425435703618,4.44973225197494,3.0226788249542214
gradient_norm,memorization_gap,9,15,4.652610133414736,3.9054749601376475,4.376153567741892,2.7751620226968674
gradient_norm,memorization_gap,12,5,6.886178630514335,5.019003920585392,5.749131846172569,3.9132258553485197
gradient_norm,memorization_gap,12,8,5.893776514205523,4.6041874157742875,5.081981322109334,3.6830593605011988
gradient_norm,memorization_gap,12,10,5.455137218568917,4.40631601879086,4.9781794266580555,3.6512416950837716
gradient_norm,memorization_gap,12,15,5.007535760205738,4.289235533469125,4.846540495425753,3.0877360768301445
gradient_norm,memorization_gap,15,5,7.48255635038163,5.510762986344832,6.1347652338619865,4.2500096261634495
