period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
16,8,2,20,1,2,38,38,2.375,6.324431319463108,5.863095127816549,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,4,10,0,4,36,36,2.25,6.6064018511243106,3.9334506371001376,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,4,10,1,4,36,36,2.25,5.92265383372298,5.27529610195452,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,4,20,0,4,76,76,4.75,7.185850362998036,6.217934158604309,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,4,20,1,4,76,76,4.75,5.969803722172427,7.496851453303015,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,8,10,0,8,72,72,4.5,6.463249034129775,6.032737228547887,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,8,10,1,8,72,72,4.5,5.85967351800058,6.979701851136581,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,8,20,0,8,150,152,9.5,5.741711511627777,7.453548020911155,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,8,20,1,8,150,152,9.5,6.210246948357642,9.014087816160814,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,16,10,0,16,144,144,9.0,6.22822707031343,6.343281182397169,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,16,10,1,16,144,144,9.0,5.376890831959878,7.139763491668517,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,16,20,0,16,150,304,19.0,6.27432377602093,7.369209364896242,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,16,20,1,16,150,304,19.0,5.419314451087954,8.978559599680704,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,32,10,0,32,150,288,18.0,7.2264374100452615,5.586216203696689,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,32,10,1,32,150,288,18.0,5.795495046064026,7.412406636769583,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,32,20,0,32,150,608,38.0,6.148558496048373,7.261212244517709,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,32,20,1,32,150,608,38.0,6.051407819315929,8.299029979206132,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,acorr,10,0,1,9,9,0.5625,4.401051777052593,2.4704389313774584,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,acorr,10,1,1,9,9,0.5625,4.332903939331563,2.5430321887733442,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
16,8,acorr,20,0,1,19,19,1.1875,5.543222760200831,3.6013384832702844,4.635672369180417,4.031132556681424,0.6453515664725706,False,0.00030766852075091167
16,8,acorr,20,1,1,19,19,1.1875,5.338243803659672,3.859975822168156,7.933224928466436,5.023356939079142,0.5939653272156278,False,0.00030766852075091167
